PESO INICIAL;PESO FINAL;CEP INICIAL;CEP FINAL;VALOR DO FRETE;TEMPO DE ENTREGA
;100.00;6730000;6749999;115,85;10
;10.00;6730000;6749999;48,53;4
;20.00;6730000;6749999;57,72;4
;35.00;6730000;6749999;70,77;4
;50.00;6730000;6749999;83,12;4
;70.00;6730000;6749999;92,58;4
;10.00;6750001;6799999;50,12;10
;20.00;6750001;6799999;60,32;10
;30.00;6750001;6799999;60,32;10
;40.00;6750001;6799999;80,03;10
;50.00;6750001;6799999;80,03;10
;60.00;6750001;6799999;99,75;10
;70.00;6750001;6799999;99,75;10
;80.00;6750001;6799999;115,85;10
;90.00;6750001;6799999;115,85;10
;100.00;6750001;6799999;115,85;10
;10.00;6750001;6799999;48,53;6
;20.00;6750001;6799999;57,72;6
;35.00;6750001;6799999;70,77;6
;50.00;6750001;6799999;83,12;6
;70.00;6750001;6799999;92,58;6
;10.00;6800001;6849999;50,12;10
;20.00;6800001;6849999;60,32;10
;30.00;6800001;6849999;60,32;10
;40.00;6800001;6849999;80,03;10
;50.00;6800001;6849999;80,03;10
;60.00;6800001;6849999;99,75;10
;70.00;6800001;6849999;99,75;10
;80.00;6800001;6849999;115,85;10
;90.00;6800001;6849999;115,85;10
;100.00;6800001;6849999;115,85;10
;10.00;6800001;6849999;63,31;6
;20.00;6800001;6849999;75,29;6
;35.00;6800001;6849999;92,3;6
;50.00;6800001;6849999;108,4;6
;70.00;6800001;6849999;120,7;6
;10.00;6850001;6889999;50,12;10
;20.00;6850001;6889999;60,32;10
;30.00;6850001;6889999;60,32;10
;40.00;6850001;6889999;80,03;10
;50.00;6850001;6889999;80,03;10
;60.00;6850001;6889999;99,75;10
;70.00;6850001;6889999;99,75;10
;80.00;6850001;6889999;115,85;10
;90.00;6850001;6889999;115,85;10
;100.00;6850001;6889999;115,85;10
;10.00;6850001;6889999;63,31;6
;20.00;6850001;6889999;75,29;6
;35.00;6850001;6889999;92,3;6
;50.00;6850001;6889999;108,4;6
;70.00;6850001;6889999;120,7;6
;10.00;6890000;6899999;50,12;16
;20.00;6890000;6899999;60,32;16
;30.00;6890000;6899999;60,32;16
;40.00;6890000;6899999;80,03;16
;50.00;6890000;6899999;80,03;16
;60.00;6890000;6899999;99,75;16
;70.00;6890000;6899999;99,75;16
;80.00;6890000;6899999;115,85;16
;90.00;6890000;6899999;115,85;16
;100.00;6890000;6899999;115,85;16
;10.00;6890000;6899999;63,31;6
;20.00;6890000;6899999;75,29;6
;35.00;6890000;6899999;92,3;6
;50.00;6890000;6899999;108,4;6
;70.00;6890000;6899999;120,7;6
;10.00;6900000;6949999;63,31;6
;20.00;6900000;6949999;75,29;6
;35.00;6900000;6949999;92,3;6
;50.00;6900000;6949999;108,4;6
;70.00;6900000;6949999;120,7;6
;10.00;6900001;6949999;50,12;10
;20.00;6900001;6949999;60,32;10
;30.00;6900001;6949999;60,32;10
;40.00;6900001;6949999;80,03;10
;50.00;6900001;6949999;80,03;10
;60.00;6900001;6949999;99,75;10
;70.00;6900001;6949999;99,75;10
;80.00;6900001;6949999;115,85;10
;90.00;6900001;6949999;115,85;10
;100.00;6900001;6949999;115,85;10
;10.00;6950000;6999999;50,12;16
;20.00;6950000;6999999;60,32;16
;30.00;6950000;6999999;60,32;16
;40.00;6950000;6999999;80,03;16
;50.00;6950000;6999999;80,03;16
;60.00;6950000;6999999;99,75;16
;70.00;6950000;6999999;99,75;16
;80.00;6950000;6999999;115,85;16
;90.00;6950000;6999999;115,85;16
;100.00;6950000;6999999;115,85;16
;10.00;6950000;6999999;63,31;6
;20.00;6950000;6999999;75,29;6
;35.00;6950000;6999999;92,3;6
;50.00;6950000;6999999;108,4;6
;70.00;6950000;6999999;120,7;6
;10.00;7000001;7399999;50,12;10
;20.00;7000001;7399999;60,32;10
;30.00;7000001;7399999;60,32;10
;40.00;7000001;7399999;80,03;10
;50.00;7000001;7399999;80,03;10
;60.00;7000001;7399999;99,75;10
;70.00;7000001;7399999;99,75;10
;80.00;7000001;7399999;115,85;10
;90.00;7000001;7399999;115,85;10
;100.00;7000001;7399999;115,85;10
;10.00;7000001;7399999;63,31;5
;20.00;7000001;7399999;75,29;5
;35.00;7000001;7399999;92,3;5
;50.00;7000001;7399999;108,4;5
;70.00;7000001;7399999;120,7;5
;10.00;7400001;7499999;50,12;10
;20.00;7400001;7499999;60,32;10
;30.00;7400001;7499999;60,32;10
;40.00;7400001;7499999;80,03;10
;50.00;7400001;7499999;80,03;10
;60.00;7400001;7499999;99,75;10
;70.00;7400001;7499999;99,75;10
;80.00;7400001;7499999;115,85;10
;90.00;7400001;7499999;115,85;10
;100.00;7400001;7499999;115,85;10
;10.00;7400001;7499999;48,53;5
;20.00;7400001;7499999;57,72;5
;35.00;7400001;7499999;70,77;5
;50.00;7400001;7499999;83,12;5
;70.00;7400001;7499999;92,58;5
;10.00;7500000;7599999;48,53;13
;20.00;7500000;7599999;57,72;13
;35.00;7500000;7599999;70,77;13
;50.00;7500000;7599999;83,12;13
;70.00;7500000;7599999;92,58;13
;10.00;7600001;7699999;50,12;10
;20.00;7600001;7699999;60,32;10
;30.00;7600001;7699999;60,32;10
;40.00;7600001;7699999;80,03;10
;50.00;7600001;7699999;80,03;10
;60.00;7600001;7699999;99,75;10
;70.00;7600001;7699999;99,75;10
;80.00;7600001;7699999;115,85;10
;90.00;7600001;7699999;115,85;10
;100.00;7600001;7699999;115,85;10
;10.00;7600001;7699999;63,31;5
;20.00;7600001;7699999;75,29;5
;35.00;7600001;7699999;92,3;5
;50.00;7600001;7699999;108,4;5
;70.00;7600001;7699999;120,7;5
;10.00;7700001;7749999;50,12;10
;20.00;7700001;7749999;60,32;10
;30.00;7700001;7749999;60,32;10
;40.00;7700001;7749999;80,03;10
;50.00;7700001;7749999;80,03;10
;60.00;7700001;7749999;99,75;10
;70.00;7700001;7749999;99,75;10
